Breath;0;126;0,9524
64762,14;0f 0f;right;
66666,9;0f 1f;right;
68571,67;0f 2f;right;
70000,24;0f 3f;right;
70476,43;-1f 4f;left;
70476,43;1f 4f;right;
70833,57;-1f 3f;left;
71190,71;-1f 2f;left;
71428,81;1f 2f;right;
72857,38;2f 2f;right;
73095,48;4f 2f;right;
73333,57;3f 2f;left;
74285,95;-1f 4f;left;
74285,95;1f 4f;right;
74643,1;1f 3f;right;
75000,24;1f 2f;right;
75238,33;-1f 2f;left;
76666,9;-2f 2f;left;
76905,00;-4f 2f;left;
77143,1;-3f 2f;right;
78095,48;-1f 0f;left;
78095,48;1f 0f;right;
78571,67;2f 1f;right;
79047,86;1f 1f;left;
79524,05;3f 0f;right;
79762,14;2f 0f;left;
80000,24;4f -1f;right;
80476,43;2f 0f;left;
80952,62;3f 0f;right;
81428,81;0f 0f;left;
81905,00;-1f 0f;left;
81905,00;1f 0f;right;
82381,19;-2f 1f;left;
82857,38;-1f 1f;right;
83333,57;-3f 0f;left;
83571,67;-2f 0f;right;
83809,76;-4f -1f;left;
84285,95;-2f 0f;right;
84762,14;-3f 0f;left;
85238,33;0f 0f;right;
85714,52;-1f 0f;left;
85714,52;1f 0f;right;
86190,71;2f -1f;right;
86666,9;1f -1f;left;
87143,1;3f 0f;right;
87381,19;2f 0f;left;
87619,29;4f 1f;right;
88095,48;2f 0f;left;
88571,67;3f 0f;right;
89047,86;0f 0f;left;
89524,05;-1f 0f;left;
89524,05;1f 0f;right;
90000,24;-2f -1f;left;
90476,43;-1f -1f;right;
90952,62;-3f 0f;left;
91190,71;-2f 0f;right;
91428,81;-4f 1f;left;
91905,00;-2f 0f;right;
93333,57;-1f 1f;left;
93333,57;1f 1f;right;
93809,76;2f 1f;right;
94047,86;-1f 1f;left;
95238,33;0f 0f;right;
95714,52;-1f 0f;left;
95952,62;1f 0f;right;
97143,1;-1f -1f;left;
97619,29;0f -1f;right;
97857,38;-2f -1f;left;
99047,86;1f -1f;right;
99524,05;0f -1f;left;
99762,14;2f -1f;right;
100476,43;-1f -1f;left;
100952,62;-1f 0f;left;
100952,62;1f 0f;right;
101428,81;2f 0f;right;
101666,9;2f 1f;right;
101905,00;-1f 1f;left;
101905,00;1f 1f;right;
102857,38;-1f 2f;left;
102857,38;1f 2f;right;
103333,57;-2f 2f;left;
103571,67;-2f 3f;left;
103809,76;-1f 3f;left;
103809,76;1f 3f;right;
104762,14;1f 4f;right;
105238,33;-1f 4f;left;
105714,52;1f 3f;right;
105952,62;-1f 3f;left;
106190,71;1f 2f;right;
106428,81;-1f 2f;left;
106666,9;-1f 1f;left;
106666,9;1f 1f;right;
107619,29;-3f 3f;left;
107619,29;3f 3f;right;
108571,67;-1f 1f;left;
108571,67;1f 1f;right;
108809,76;0f 2f;left;
109047,86;-1f 3f;left;
109285,95;1f 3f;right;
109524,05;-2f 4f;left;
109524,05;2f 4f;right;
110476,43;-1f 1f;left;
110476,43;1f 1f;right;
111428,81;-2f 2f;left;
111428,81;2f 2f;right;
112381,19;-1f 1f;left;
112381,19;1f 1f;right;
113333,57;-2f 2f;left;
113333,57;2f 2f;right;
114285,95;-1f 1f;left;
114285,95;1f 1f;right;
115238,33;-3f 2f;left;
115238,33;3f 2f;right;
116190,71;-1f 1f;left;
116190,71;1f 1f;right;
116428,81;1f 2f;right;
116666,9;-1f 2f;left;
116785,95;1f 3f;right;
117143,1;-1f 4f;left;
117143,1;1f 4f;right;
117381,19;0f 4f;left;
118095,48;-1f 1f;left;
118095,48;1f 1f;right;
119047,86;-3f 2f;left;
119047,86;3f 2f;right;
120000,24;-1f 1f;left;
120000,24;1f 1f;right;
120952,62;-3f 2f;left;
120952,62;3f 2f;right;
122857,38;-3f 2f;left;
122857,38;3f 2f;right;
123333,57;2f 1f;right;
123571,67;-2f 1f;left;
123809,76;-1f 1f;left;
123809,76;1f 1f;right;
124762,14;-3f 2f;left;
124762,14;3f 2f;right;
125000,24;-2f 1f;left;
125000,24;2f 1f;right;
125714,52;-1f 1f;left;
125714,52;1f 1f;right;
126666,9;-3f 2f;left;
126666,9;3f 2f;right;
127143,1;-2f 1f;left;
127143,1;2f 1f;right;
127619,29;-1f 1f;left;
127619,29;1f 1f;right;
128571,67;-3f 2f;left;
128571,67;3f 2f;right;
129047,86;-1f 1f;left;
129047,86;1f 1f;right;
129524,05;-1f 1f;left;
129524,05;1f 1f;right;
130476,43;-3f 2f;left;
130476,43;3f 2f;right;
130714,52;2f 1f;right;
131190,71;-2f 1f;left;
131428,81;-1f 1f;left;
131428,81;1f 1f;right;
131666,9;1f 0f;right;
131905,00;1f -1f;right;
132143,1;-1f -1f;left;
132619,29;-1f -2f;left;
132619,29;1f -2f;right;
133333,57;-1f 1f;left;
133333,57;1f 1f;right;
134285,95;-3f 2f;left;
134285,95;3f 2f;right;
135238,33;-1f 1f;left;
135238,33;1f 1f;right;
136190,71;-3f 2f;left;
136190,71;3f 2f;right;
136428,81;-1f 1f;left;
136428,81;1f 1f;right;
137143,1;-3f -2f;left;
137143,1;3f -2f;right;
